CONSECUTIVO,LETRA,CATALOG_KEY,NOMBRE,CODIGOX,LSEX,LINF,LSUP,TRIVIAL,ERRADICADO,N_INTER,NIN,NINMTOBS,COD_SIT_LESION,NO_CBD,CBD,NO_APH,AF_PRIN,DIA_SIS,CLAVE_PROGRAMA_SIS,COD_COMPLEMEN_MORBI,DEF_FETAL_CM,DEF_FETAL_CBD,CLAVE_CAPITULO,CAPITULO,LISTA1,GRUPO1,LISTA5,RUBRICA_TYPE,YEAR_MODIFI,YEAR_APLICACION,VALID,PRINMORTA,PRINMORBI,LM_MORBI,LM_MORTA,LGBD165,LOMSBECK,LGBD190,NOTDIARIA,NOTSEMANAL,SISTEMA_ESPECIAL,BIRMM,CVE_CAUSA_TYPE,CAUSA_TYPE,EPI_MORTA,EDAS_E_IRAS_EN_M5,CSVE_MATERNAS_SEED_EPID,EPI_MORTA_M5,EPI_MORBI,DEF_MATERNAS,ES_CAUSES,NUM_CAUSES,ES_SUIVE_MORTA,ES_SUIVE_MORB,EPI_CLAVE,EPI_CLAVE_DESC,ES_SUIVE_NOTIN,ES_SUIVE_EST_EPI,ES_SUIVE_EST_BROTE,SINAC,PRIN_SINAC,PRIN_SINAC_GRUPO,DESCRIPCION_SINAC_GRUPO,PRIN_SINAC_SUBGRUPO,DESCRIPCION_SINAC_SUBGRUPO,DAGA,ASTERISCO
472,B,B003,"MENINGITIS HERPÉTICA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,033,NO,NO,NO,SI,042,042,06O,06O,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
473,B,B004,"ENCEFALITIS HERPÉTICA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,033,NO,NO,NO,SI,042,042,06O,06O,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
474,B,B005,"OCULOPATÍA HERPÉTICA",NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,033,C,"2003 (SE ELIMINO DAGA)",2003,SI,042,042,06O,06O,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
475,B,B007,"ENFERMEDAD HERPÉTICA DISEMINADA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,033,NO,NO,NO,SI,042,042,06O,06O,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
476,B,B008,"OTRAS FORMAS DE INFECCIONES HERPÉTICAS",NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,033,NO,NO,NO,SI,042,042,06O,06O,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
477,B,B009,"INFECCIÓN DEBIDA AL VIRUS DEL HERPES, NO ESPECIFICADA",NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,033,NO,NO,NO,SI,042,042,06O,06O,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
478,B,B01,VARICELA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,NO,NO,NO,4,NO,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,000,NO,NO,NO,NO,NO,NO
479,B,B010,"MENINGITIS DEBIDA A VARICELA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,4,38,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,33,VARICELA,NO,NO,SI,NO,999,NO,NO,NO,NO,SI,NO
480,B,B011,"ENCEFALITIS DEBIDA A VARICELA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,4,38,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,33,VARICELA,NO,NO,SI,NO,999,NO,NO,NO,NO,SI,NO
481,B,B012,"NEUMONÍA DEBIDA A VARICELA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,4,38,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,33,VARICELA,NO,NO,SI,NO,999,NO,NO,NO,NO,SI,NO
482,B,B018,"VARICELA CON OTRAS COMPLICACIONES",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,4,38,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,33,VARICELA,NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
483,B,B019,"VARICELA SIN COMPLICACIONES",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,4,38,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,SI,35,NO,SI,33,VARICELA,NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
484,B,B02,"HERPES ZOSTER",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,NO,NO,NO,88,NO,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,000,NO,NO,NO,NO,NO,NO
485,B,B020,"ENCEFALITIS DEBIDA A HERPES ZOSTER",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
486,B,B021,"MENINGITIS DEBIDA A HERPES ZOSTER",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
487,B,B022,"HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
488,B,B023,"HERPES ZOSTER OCULAR",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,C,"2003 (SE ELIMINO DAGA)",2003,SI,043,043,06P,06P,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
489,B,B027,"HERPES ZOSTER DISEMINADO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
490,B,B028,"HERPES ZOSTER CON OTRAS COMPLICACIONES",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
491,B,B029,"HERPES ZOSTER SIN COMPLICACIONES",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,034,NO,NO,NO,SI,043,043,06P,06P,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,SI,63,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
492,B,B03X,VIRUELA,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,SI,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,031,031,06B,06B,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
493,B,B04X,"VIRUELA DE LOS MONOS",SI,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,SI,NO,SI,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,031,031,06B,06B,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
494,B,B05,SARAMPIÓN,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,NO,NO,NO,4,NO,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,SI,SI,SI,NO,000,NO,NO,NO,NO,NO,NO
495,B,B050,"SARAMPIÓN COMPLICADO CON ENCEFALITIS",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,06C,06C,15,4,15,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,87,SARAMPION,SI,SI,SI,NO,999,NO,NO,NO,NO,SI,NO
496,B,B051,"SARAMPIÓN COMPLICADO CON MENINGITIS",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,06C,06C,15,4,15,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,87,SARAMPION,SI,SI,SI,NO,999,NO,NO,NO,NO,SI,NO
497,B,B052,"SARAMPIÓN COMPLICADO CON NEUMONÍA",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,06C,06C,15,4,15,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,87,SARAMPION,SI,SI,SI,NO,999,NO,NO,NO,NO,SI,NO
498,B,B053,"SARAMPIÓN COMPLICADO CON OTITIS MEDIA",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,06C,06C,15,4,15,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,87,SARAMPION,SI,SI,SI,NO,999,NO,NO,NO,NO,SI,NO
499,B,B054,"SARAMPIÓN CON COMPLICACIONES INTESTINALES",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,06C,06C,15,4,15,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,87,SARAMPION,SI,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
500,B,B058,"SARAMPIÓN CON OTRAS COMPLICACIONES",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,06C,06C,15,4,15,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,87,SARAMPION,SI,SI,SI,NO,999,NO,NO,NO,NO,SI,NO
501,B,B059,"SARAMPIÓN SIN COMPLICACIONES",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",018,001,035,NO,NO,NO,SI,032,032,06C,06C,15,4,15,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,SI,34,SI,SI,87,SARAMPION,SI,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
502,B,B06,"RUBÉOLA [SARAMPIÓN ALEMÁN",NO,NO,028D,120A,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,036,NO,NO,NO,SI,033,033,NO,NO,NO,4,NO,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,SI,SI,SI,NO,000,NO,NO,NO,NO,NO,NO
503,B,B060,"RUBÉOLA CON COMPLICACIONES NEUROLÓGICAS",NO,NO,028D,120A,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,036,NO,NO,NO,SI,033,033,06D,06D,38,4,38,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,32,RUBEOLA,SI,SI,SI,NO,999,NO,NO,NO,NO,SI,NO
504,B,B068,"RUBÉOLA CON OTRAS COMPLICACIONES",NO,NO,028D,120A,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,036,NO,NO,NO,SI,033,033,06D,06D,38,4,38,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,32,RUBEOLA,SI,SI,SI,NO,999,NO,NO,NO,NO,SI,NO
505,B,B069,"RUBÉOLA SIN COMPLICACIONES",NO,NO,028D,120A,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,036,NO,NO,NO,SI,033,033,06D,06D,38,4,38,NO,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,SI,34,SI,SI,32,RUBEOLA,SI,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
506,B,B07X,"VERRUGAS VÍRICAS",SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,1,"CAUSAS POCO PROBALBES DE SER CAUSA BÁSICA",NO,NO,NO,NO,NO,0,SI,97,NO,NO,NO,NO,NO,NO,NO,SI,999,NO,NO,NO,NO,NO,NO
507,B,B08,"OTRAS INFECIONES VÍRICAS CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS, NO CLASIFICADAS EN OTRA PARTE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,NO,NO,NO,88,NO,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,000,NO,NO,NO,NO,NO,NO
508,B,B080,"OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
509,B,B081,"MOLUSCO CONTAGIOSO",NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,1,"CAUSAS POCO PROBALBES DE SER CAUSA BÁSICA",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
510,B,B082,"EXANTEMA SÚBITO [SEXTA ENFERMEDAD",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
511,B,B083,"ERITEMA INFECCIOSO [QUINTA ENFERMEDAD",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
512,B,B084,"ESTOMATITIS VESICULAR ENTEROVIRAL CON EXANTEMA",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
513,B,B085,"FARINGITIS VESICULAR ENTEROVÍRICA",NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,NO,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
514,B,B088,"OTRAS INFECCIONES VIRALES ESPECIFICADAS, CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS",NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,1,"CAUSAS POCO PROBALBES DE SER CAUSA BÁSICA",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
515,B,B09X,"INFECCIÓN VIRAL NO ESPECIFICADA, CARACTERIZADA POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS",SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",025,001,041,NO,NO,NO,SI,999,999,06Z,06Z,38,88,38,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
516,B,B15,"HEPATITIS AGUDA TIPO A",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",019,001,038,NO,NO,NO,SI,039,039,NO,NO,NO,4,NO,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,000,NO,NO,NO,NO,NO,NO
517,B,B150,"HEPATITIS AGUDA TIPO A, CON COMA HEPÁTICO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",019,001,038,NO,NO,NO,SI,039,039,06K,06K,21,4,21,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,37,"HEPATITIS VIRICA A",NO,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
518,B,B159,"HEPATITIS AGUDA TIPO A, SIN COMA HEPÁTICO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",019,001,038,NO,NO,NO,SI,039,039,06K,06K,21,4,21,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,SI,64,NO,SI,37,"HEPATITIS VIRICA A",NO,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
519,B,B16,"HEPATITIS AGUDA TIPO B",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",019,001,037,NO,NO,NO,SI,039,039,NO,NO,NO,4,NO,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,000,NO,NO,NO,NO,NO,NO
